predicted_category,confidence,total_ingredients,abrasive_scrub,absorbent_mattifier,anti-acne,antimicrobial_antibacterial,antioxidant,astringent,buffering,cell-communicating_ingredient,chelating,colorant,deodorant,emollient,emulsifying,emulsion_stabilising,exfoliant,moisturizer_humectant,perfuming,preservative,skin_brightening,skin-identical_ingredient,solvent,soothing,sunscreen,surfactant_cleansing,viscosity_controlling,abrasive_scrub_binary,absorbent_mattifier_binary,anti-acne_binary,antimicrobial_antibacterial_binary,antioxidant_binary,astringent_binary,buffering_binary,cell-communicating_ingredient_binary,chelating_binary,colorant_binary,deodorant_binary,emollient_binary,emulsifying_binary,emulsion_stabilising_binary,exfoliant_binary,moisturizer_humectant_binary,perfuming_binary,preservative_binary,skin_brightening_binary,skin-identical_ingredient_binary,solvent_binary,soothing_binary,sunscreen_binary,surfactant_cleansing_binary,viscosity_controlling_binary,superstar_count,goodie_count,icky_count,superstar_percentage,goodie_percentage,icky_percentage,avg_irritancy,max_irritancy,avg_comedogenicity,max_comedogenicity,safety_concern_ingredients,function_diversity,total_functions,avg_functions_per_ingredient
Face Moisturizer,1.0,27,0,0,0,0,1,0,1,0,0,0,0,5,3,0,0,0,9,5,0,4,4,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,4,7,0.037037037037037035,0.14814814814814814,0.25925925925925924,0.25,1,0.75,2,0,9,35,1.2962962962962963
Face Moisturizer,1.0,27,0,0,0,0,3,0,1,0,0,0,0,5,3,0,0,0,6,3,1,0,4,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,2,5,0.0,0.07407407407407407,0.18518518518518517,0.25,2,1.25,3,2,9,29,1.0740740740740742
Face Moisturizer,1.0,31,0,0,2,0,2,0,2,1,0,2,0,6,3,0,1,0,7,5,1,0,2,2,0,0,3,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,2,4,3,0.06451612903225806,0.12903225806451613,0.0967741935483871,1.0,2,2.6666666666666665,4,1,14,39,1.2580645161290323
Face Mask,0.95,38,0,0,1,0,4,0,1,0,1,5,0,6,4,0,1,0,2,3,0,1,3,3,0,0,8,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,2,5,1,0.05263157894736842,0.13157894736842105,0.02631578947368421,0.4117647058823529,3,0.6470588235294118,3,3,14,43,1.131578947368421
Face Mask,0.95,18,0,0,0,0,4,0,1,0,0,0,0,4,1,0,0,0,5,3,0,2,2,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,6,4,0.05555555555555555,0.3333333333333333,0.2222222222222222,0.5,3,1.375,3,4,10,25,1.3888888888888888
Face Moisturizer,1.0,37,0,0,0,0,5,0,1,0,1,0,0,8,4,0,0,0,1,2,1,1,4,3,5,0,6,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,6,3,0.02702702702702703,0.16216216216216217,0.08108108108108109,0.4444444444444444,3,0.8888888888888888,3,2,13,42,1.135135135135135
Sunscreen,0.95,40,0,0,1,0,6,0,1,1,1,0,0,6,4,0,0,0,2,1,2,2,5,3,7,0,6,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,2,8,1,0.05,0.2,0.025,0.4444444444444444,3,0.7777777777777778,3,2,15,48,1.2
Face Moisturizer,0.7,24,0,0,0,0,2,0,2,0,0,2,0,3,0,0,0,0,4,0,0,0,5,0,0,0,7,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,0.0,0.08333333333333333,0.08333333333333333,0.6,3,0.8,3,2,7,25,1.0416666666666667
Face Moisturizer,1.0,44,0,0,0,0,2,0,1,1,1,0,0,6,5,0,0,0,8,1,0,2,4,1,4,0,6,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,5,6,0.022727272727272728,0.11363636363636363,0.13636363636363635,0.6,2,1.0,2,0,13,42,0.9545454545454546
Conditioner,0.95,20,0,0,0,0,1,0,2,0,0,1,0,6,2,0,0,0,2,2,0,0,2,1,0,0,5,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,2,0.0,0.0,0.1,3.0,4,3.0,5,3,10,24,1.2
