predicted_category,confidence,total_ingredients,abrasive_scrub,absorbent_mattifier,anti-acne,antimicrobial_antibacterial,antioxidant,astringent,buffering,cell-communicating_ingredient,chelating,colorant,deodorant,emollient,emulsifying,emulsion_stabilising,exfoliant,moisturizer_humectant,perfuming,preservative,skin_brightening,skin-identical_ingredient,solvent,soothing,sunscreen,surfactant_cleansing,viscosity_controlling,abrasive_scrub_binary,absorbent_mattifier_binary,anti-acne_binary,antimicrobial_antibacterial_binary,antioxidant_binary,astringent_binary,buffering_binary,cell-communicating_ingredient_binary,chelating_binary,colorant_binary,deodorant_binary,emollient_binary,emulsifying_binary,emulsion_stabilising_binary,exfoliant_binary,moisturizer_humectant_binary,perfuming_binary,preservative_binary,skin_brightening_binary,skin-identical_ingredient_binary,solvent_binary,soothing_binary,sunscreen_binary,surfactant_cleansing_binary,viscosity_controlling_binary,superstar_count,goodie_count,icky_count,superstar_percentage,goodie_percentage,icky_percentage,avg_irritancy,max_irritancy,avg_comedogenicity,max_comedogenicity,safety_concern_ingredients,function_diversity,total_functions,avg_functions_per_ingredient
Acne Treatment,0.95,42,0,0,1,0,3,0,3,1,1,0,0,5,3,0,0,0,5,2,2,2,7,5,0,0,3,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,8,4,0.047619047619047616,0.19047619047619047,0.09523809523809523,0.2727272727272727,3,0.7272727272727273,3,3,14,43,1.0238095238095237
Face Serum,1.0,221,0,0,3,0,17,0,4,25,2,0,0,33,25,0,2,0,3,4,4,20,10,10,0,0,15,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,5,69,2,0.02262443438914027,0.31221719457013575,0.00904977375565611,0.6538461538461539,3,1.4230769230769231,4,6,15,177,0.8009049773755657
Face Serum,0.95,79,0,0,1,0,1,0,1,18,1,0,0,8,3,0,0,0,2,2,2,4,5,6,0,0,6,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,30,1,0.02531645569620253,0.379746835443038,0.012658227848101266,0.14285714285714285,1,0.5714285714285714,2,0,14,60,0.759493670886076
Face Moisturizer,1.0,38,0,0,1,0,2,0,2,1,2,0,0,6,4,0,0,0,0,3,5,0,5,1,3,0,4,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,2,5,0,0.05263157894736842,0.13157894736842105,0.0,0.0,0,0.6,1,0,13,39,1.0263157894736843
Face Moisturizer,1.0,46,0,0,1,0,3,0,0,1,1,2,0,12,5,0,0,0,8,2,1,2,8,4,0,0,8,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,8,6,0.021739130434782608,0.17391304347826086,0.13043478260869565,0.47058823529411764,3,1.0588235294117647,4,4,14,58,1.2608695652173914
Brightening Treatment,0.95,47,0,0,1,0,0,0,1,0,1,2,0,4,3,0,1,0,2,6,1,3,6,1,1,0,8,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,2,8,2,0.0425531914893617,0.1702127659574468,0.0425531914893617,0.0,0,0.6,1,0,15,41,0.8723404255319149
Brightening Treatment,0.95,93,0,0,2,0,16,0,4,2,1,0,0,11,6,0,0,0,3,6,14,13,9,9,0,0,6,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,3,31,1,0.03225806451612903,0.3333333333333333,0.010752688172043012,0.5333333333333333,3,0.9333333333333333,3,4,14,102,1.096774193548387
Face Moisturizer,0.8235294117647058,78,0,0,1,0,2,0,1,18,1,0,0,6,4,0,0,0,2,2,2,3,5,5,0,0,4,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,31,1,0.02564102564102564,0.3974358974358974,0.01282051282051282,0.16666666666666666,1,0.6666666666666666,2,0,14,56,0.717948717948718
Face Moisturizer,0.8235294117647058,56,0,0,1,0,3,0,1,13,2,0,0,8,4,0,1,0,1,2,2,2,4,4,0,0,9,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,3,21,1,0.05357142857142857,0.375,0.017857142857142856,0.5,3,1.5,3,3,15,57,1.0178571428571428
Face Serum,0.95,56,0,0,1,0,4,0,0,2,1,0,0,14,7,0,0,0,8,4,1,2,10,3,0,0,12,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,7,7,0.03571428571428571,0.125,0.125,0.5333333333333333,3,1.2,4,4,13,69,1.2321428571428572
Face Serum,1.0,26,0,0,1,0,7,0,0,4,1,1,0,3,1,0,0,0,0,1,5,1,1,3,2,0,3,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,3,12,0,0.11538461538461539,0.46153846153846156,0.0,0.0,0,0.5,1,0,14,34,1.3076923076923077
Sunscreen,0.95,84,0,0,1,0,8,0,3,2,1,0,0,5,0,0,1,0,8,2,3,15,6,5,4,0,4,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,3,28,7,0.03571428571428571,0.3333333333333333,0.08333333333333333,0.0,0,0.4,1,0,15,68,0.8095238095238095
Face Moisturizer,0.8235294117647058,35,0,0,1,0,3,0,1,1,2,0,0,6,3,0,0,0,0,5,5,0,3,1,2,0,5,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,2,4,0,0.05714285714285714,0.11428571428571428,0.0,0.0,0,0.6,1,0,13,38,1.0857142857142856
Face Serum,0.95,63,0,0,1,0,6,0,3,4,1,0,0,6,6,0,0,0,0,3,6,10,9,6,0,0,3,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,3,25,0,0.047619047619047616,0.3968253968253968,0.0,0.3333333333333333,3,0.6666666666666666,3,2,13,64,1.0158730158730158
Brightening Treatment,0.95,32,0,0,1,0,3,0,0,1,0,0,0,5,3,0,0,0,1,0,7,1,3,2,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,3,5,0,0.09375,0.15625,0.0,0.6,2,1.2,2,0,11,29,0.90625
Sunscreen,0.95,56,0,0,0,0,3,0,0,16,0,2,0,8,3,0,0,0,1,2,1,0,4,1,5,0,5,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,22,1,0.0,0.39285714285714285,0.017857142857142856,1.0,3,2.0,4,3,12,51,0.9107142857142857
Face Serum,0.95,47,0,0,0,0,1,0,1,3,0,1,0,3,2,0,0,0,1,4,1,14,4,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,20,0,0.02127659574468085,0.425531914893617,0.0,0.5,3,1.0,5,2,11,35,0.7446808510638298
Face Serum,1.0,83,0,0,2,0,7,0,2,20,2,0,0,5,6,0,0,0,4,2,5,3,10,4,0,0,9,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,5,26,4,0.060240963855421686,0.3132530120481928,0.04819277108433735,0.6666666666666666,3,1.0666666666666667,3,4,14,81,0.9759036144578314
Face Serum,0.95,49,0,0,1,0,4,0,1,13,1,0,0,4,2,0,0,0,1,2,2,3,4,4,0,0,7,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,25,1,0.04081632653061224,0.5102040816326531,0.02040816326530612,0.6,3,1.0,3,2,14,49,1.0
Face Serum,0.95,33,0,0,1,0,0,0,0,7,0,0,0,5,0,0,0,0,2,1,2,0,6,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,10,1,0.030303030303030304,0.30303030303030304,0.030303030303030304,0.0,0,0.4,1,0,8,26,0.7878787878787878
Face Serum,0.95,61,0,0,1,0,2,0,2,6,1,0,0,10,4,0,0,0,8,2,4,4,5,3,0,0,8,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,5,11,8,0.08196721311475409,0.18032786885245902,0.13114754098360656,0.375,3,1.0,3,2,14,60,0.9836065573770492
Face Moisturizer,0.8,79,0,0,1,0,7,0,2,13,1,0,0,19,12,0,0,0,3,2,3,3,6,6,0,0,9,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,29,1,0.02531645569620253,0.3670886075949367,0.012658227848101266,0.5384615384615384,3,1.2307692307692308,3,4,14,87,1.1012658227848102
Face Mask,0.95,56,0,0,0,0,5,0,1,15,1,0,0,1,2,0,0,0,2,1,1,3,7,5,0,0,4,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,24,2,0.017857142857142856,0.42857142857142855,0.03571428571428571,0.5,3,0.6666666666666666,3,2,13,48,0.8571428571428571
Face Moisturizer,0.8,46,0,0,0,0,3,0,3,1,1,0,0,9,2,0,0,0,11,3,1,3,6,1,0,0,4,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,10,5,0.021739130434782608,0.21739130434782608,0.10869565217391304,0.5714285714285714,3,1.1428571428571428,3,2,13,48,1.0434782608695652
Face Cleanser,0.95,16,0,0,1,0,0,0,1,0,1,0,0,0,4,0,0,0,0,1,1,0,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,2,0,0.0625,0.125,0.0,0.0,0,0.5,1,0,8,13,0.8125
Face Moisturizer,0.95,58,0,0,1,0,2,0,1,2,1,0,0,7,5,0,0,0,0,1,2,16,5,2,0,0,7,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,2,25,0,0.034482758620689655,0.43103448275862066,0.0,0.125,1,0.75,2,0,13,52,0.896551724137931
Brightening Treatment,0.95,77,0,0,1,0,12,0,3,1,2,0,0,8,3,0,0,0,0,3,13,11,6,9,0,0,5,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,3,27,0,0.03896103896103896,0.35064935064935066,0.0,0.125,1,0.5,2,0,13,77,1.0
Face Serum,0.95,66,0,0,0,0,2,0,1,15,0,0,0,6,8,0,0,0,2,5,1,1,4,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,18,1,0.015151515151515152,0.2727272727272727,0.015151515151515152,0.75,3,1.25,3,2,12,48,0.7272727272727273
Face Serum,1.0,231,0,0,4,0,19,0,5,25,2,1,0,30,20,0,2,0,6,3,7,21,11,12,0,0,11,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,5,75,1,0.021645021645021644,0.3246753246753247,0.004329004329004329,0.5384615384615384,3,1.6538461538461537,4,8,16,179,0.7748917748917749
Face Serum,0.95,31,0,0,1,0,1,0,3,0,1,0,0,0,1,0,1,0,4,2,2,2,4,4,0,0,2,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,2,8,5,0.06451612903225806,0.25806451612903225,0.16129032258064516,0.0,0,0.3333333333333333,1,0,13,28,0.9032258064516129
Face Serum,0.95,46,0,0,1,0,2,0,0,1,1,0,0,13,7,0,0,0,8,2,1,2,9,3,0,0,8,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,7,6,0.021739130434782608,0.15217391304347827,0.13043478260869565,0.5333333333333333,3,1.2,4,4,13,58,1.2608695652173914
Face Serum,0.95,36,0,0,2,0,10,0,3,1,1,0,0,0,1,0,1,0,0,1,14,1,1,4,0,0,2,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,3,15,0,0.08333333333333333,0.4166666666666667,0.0,0.0,0,0.0,0,0,13,42,1.1666666666666667
Face Serum,0.95,54,0,0,1,0,5,0,3,2,2,0,0,5,2,0,1,0,2,4,9,3,7,6,0,0,5,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,3,14,2,0.05555555555555555,0.25925925925925924,0.037037037037037035,0.0,0,0.3333333333333333,1,0,15,57,1.0555555555555556
Body Moisturizer,0.95,27,0,0,0,0,2,0,1,1,1,0,0,1,1,0,0,0,6,1,1,1,9,3,0,0,2,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,4,7,0.037037037037037035,0.14814814814814814,0.25925925925925924,0.0,0,0.5,1,0,13,30,1.1111111111111112
Face Serum,0.95,74,0,0,1,0,15,0,1,3,1,1,0,7,2,0,0,0,2,4,2,4,5,9,0,0,4,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,19,1,0.02702702702702703,0.25675675675675674,0.013513513513513514,0.5,3,0.6666666666666666,3,2,15,61,0.8243243243243243
Sunscreen,0.95,56,0,0,0,0,3,0,0,16,0,2,0,8,3,0,0,0,1,2,1,0,4,1,5,0,5,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,22,1,0.0,0.39285714285714285,0.017857142857142856,1.0,3,2.0,4,3,12,51,0.9107142857142857
Face Serum,0.95,29,0,0,0,0,3,0,0,1,1,0,0,1,0,0,0,0,1,1,1,2,3,6,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,11,0,0.0,0.3793103448275862,0.0,0.0,0,0.0,0,0,10,20,0.6896551724137931
Face Mask,0.95,59,0,0,0,0,5,0,1,1,1,2,0,13,7,0,0,0,9,3,1,3,5,3,0,0,9,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,7,6,0.01694915254237288,0.11864406779661017,0.1016949152542373,0.5,4,0.9375,4,4,14,63,1.0677966101694916
Face Serum,0.95,43,0,0,2,0,9,0,1,2,0,0,0,2,1,0,0,0,1,1,6,3,5,2,0,0,5,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,3,12,0,0.06976744186046512,0.27906976744186046,0.0,0.6,3,0.8,3,2,13,40,0.9302325581395349
Sunscreen,0.95,66,0,0,0,0,5,0,4,1,0,4,0,14,8,0,0,0,4,3,1,1,7,1,6,0,10,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,11,2,0.015151515151515152,0.16666666666666666,0.030303030303030304,0.4,3,0.8,3,3,14,69,1.0454545454545454
Face Serum,0.95,37,0,0,0,0,2,0,1,0,1,1,0,6,1,0,0,0,8,3,2,4,5,1,0,0,4,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,8,7,0.02702702702702703,0.21621621621621623,0.1891891891891892,0.5,3,0.8333333333333334,3,2,13,39,1.054054054054054
Face Serum,1.0,45,0,0,0,0,5,0,2,7,2,0,0,7,5,0,0,0,1,3,1,2,2,4,0,0,4,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,20,0,0.022222222222222223,0.4444444444444444,0.0,0.3333333333333333,3,1.3333333333333333,3,3,13,45,1.0
Face Moisturizer,0.8,74,0,0,0,0,5,0,3,12,1,0,0,11,5,0,2,0,1,2,1,2,5,8,0,0,12,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,2,26,1,0.02702702702702703,0.35135135135135137,0.013513513513513514,0.75,3,1.625,3,3,14,70,0.9459459459459459
Face Serum,0.8,19,0,0,1,0,2,0,2,1,1,0,0,0,1,0,1,0,0,1,5,0,3,1,0,0,3,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,3,3,1,0.15789473684210525,0.15789473684210525,0.05263157894736842,0.0,0,0.5,1,0,12,22,1.1578947368421053
Face Serum,0.95,20,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,1,2,1,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,9,0,0.05,0.45,0.0,0.5,3,1.1666666666666667,3,3,8,16,0.8
Face Serum,0.95,60,0,0,0,0,1,0,2,2,1,4,0,10,6,0,0,0,8,2,1,2,6,0,0,0,6,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,7,6,0.016666666666666666,0.11666666666666667,0.1,0.4,2,1.2,4,1,13,51,0.85
Face Serum,1.0,68,0,0,0,0,10,0,1,18,0,0,0,1,1,0,0,0,4,0,3,4,4,10,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,2,33,1,0.029411764705882353,0.4852941176470588,0.014705882352941176,0.0,0,0.3333333333333333,1,0,11,57,0.8382352941176471
Shampoo,0.95,90,0,0,0,0,12,0,0,4,2,0,0,5,1,0,0,0,7,4,3,1,5,7,0,0,3,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,11,5,0.022222222222222223,0.12222222222222222,0.05555555555555555,0.0,0,0.6666666666666666,3,1,12,54,0.6
Brightening Treatment,0.95,51,0,0,2,0,2,0,0,2,2,0,0,14,9,0,1,0,8,3,2,2,9,3,0,0,8,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,3,8,6,0.058823529411764705,0.1568627450980392,0.11764705882352941,0.5,3,1.125,4,4,14,67,1.3137254901960784
Face Mask,0.95,61,0,0,1,0,4,0,0,11,0,0,0,5,3,0,0,0,1,1,2,5,4,5,0,0,8,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,26,0,0.03278688524590164,0.4262295081967213,0.0,0.6363636363636364,4,1.0909090909090908,4,5,12,50,0.819672131147541
Face Moisturizer,0.8,86,0,0,0,0,10,0,0,19,1,0,0,10,8,0,0,0,1,0,3,14,4,7,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,2,42,1,0.023255813953488372,0.4883720930232558,0.011627906976744186,0.0,0,0.7,2,0,11,79,0.9186046511627907
Face Serum,0.95,38,0,0,0,0,2,0,3,2,2,0,0,5,5,0,1,0,6,3,1,2,6,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,2,6,7,0.05263157894736842,0.15789473684210525,0.18421052631578946,0.5714285714285714,3,0.5714285714285714,3,2,13,39,1.0263157894736843
Face Serum,0.95,43,0,0,1,0,8,0,2,2,2,0,0,1,1,0,1,0,2,5,11,2,6,5,0,0,3,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,4,11,2,0.09302325581395349,0.2558139534883721,0.046511627906976744,0.0,0,0.3333333333333333,1,0,15,52,1.2093023255813953
Brightening Treatment,0.95,47,0,0,0,0,2,0,0,0,1,3,0,6,3,0,0,0,3,4,4,3,4,1,1,0,5,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,10,1,0.02127659574468085,0.2127659574468085,0.02127659574468085,0.0,0,0.8571428571428571,3,1,13,40,0.851063829787234
Face Moisturizer,0.8235294117647058,56,0,0,1,0,3,0,1,13,2,0,0,8,4,0,1,0,1,2,2,2,4,4,0,0,9,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,3,21,1,0.05357142857142857,0.375,0.017857142857142856,0.5,3,1.5,3,3,15,57,1.0178571428571428
Face Serum,1.0,231,0,0,4,0,19,0,5,25,2,1,0,30,20,0,2,0,6,3,7,21,11,12,0,0,11,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,5,75,1,0.021645021645021644,0.3246753246753247,0.004329004329004329,0.5384615384615384,3,1.6538461538461537,4,8,16,179,0.7748917748917749
Face Mask,0.95,72,0,0,1,0,8,0,0,3,0,1,0,5,3,0,0,0,0,2,2,16,4,4,0,0,8,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,2,30,0,0.027777777777777776,0.4166666666666667,0.0,0.3333333333333333,3,0.5555555555555556,3,2,12,57,0.7916666666666666
Shampoo,0.95,63,0,0,0,0,1,0,2,15,0,0,0,1,3,0,0,0,1,3,1,1,3,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,20,1,0.015873015873015872,0.31746031746031744,0.015873015873015872,0.5,2,0.75,2,0,12,34,0.5396825396825397
Face Moisturizer,0.95,71,0,0,1,0,9,0,0,21,0,0,0,4,2,0,0,0,4,0,4,2,6,9,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,3,31,1,0.04225352112676056,0.43661971830985913,0.014084507042253521,0.0,0,0.4,1,0,11,64,0.9014084507042254
Face Serum,0.95,41,0,0,1,0,6,0,4,0,1,0,0,1,3,0,1,0,4,2,4,2,4,4,0,0,4,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,3,11,4,0.07317073170731707,0.2682926829268293,0.0975609756097561,0.75,3,1.0,3,2,14,41,1.0
Face Serum,0.95,120,0,0,1,0,18,0,6,28,6,0,0,11,8,0,0,0,0,4,2,4,6,6,0,0,12,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,2,40,0,0.016666666666666666,0.3333333333333333,0.0,0.4117647058823529,3,1.2352941176470589,3,4,13,112,0.9333333333333333
Face Moisturizer,0.875,28,0,0,1,0,3,0,0,1,0,0,0,6,2,0,0,0,1,0,2,9,4,2,0,0,5,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,13,0,0.03571428571428571,0.4642857142857143,0.0,0.0,0,0.5714285714285714,1,0,11,36,1.2857142857142858
Face Serum,0.95,41,0,0,1,0,1,0,0,2,0,0,0,7,4,0,0,0,8,1,2,2,7,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,8,8,0.04878048780487805,0.1951219512195122,0.1951219512195122,1.0,3,1.3333333333333333,3,2,12,38,0.926829268292683
Face Moisturizer,1.0,32,0,0,0,0,3,0,1,0,1,0,0,9,8,0,0,0,2,2,0,3,3,1,0,0,4,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,10,1,0.03125,0.3125,0.03125,0.5,3,1.3333333333333333,3,2,11,37,1.15625
Face Moisturizer,0.95,17,0,0,1,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,1,4,3,0,0,0,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,6,0,0.058823529411764705,0.35294117647058826,0.0,0.0,0,0.6666666666666666,1,0,9,17,1.0
Face Serum,1.0,34,0,0,0,0,2,0,0,0,0,0,0,6,2,0,0,0,5,1,0,8,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,10,2,0.029411764705882353,0.29411764705882354,0.058823529411764705,0.0,0,1.0,4,1,7,28,0.8235294117647058
Face Mask,0.95,26,0,0,0,0,2,0,1,0,2,0,0,0,2,0,1,0,0,2,0,4,5,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,2,8,0,0.07692307692307693,0.3076923076923077,0.0,0.6,3,0.8,3,2,10,21,0.8076923076923077
Face Serum,0.95,38,0,0,0,0,3,0,1,2,1,0,0,6,0,0,0,0,4,3,0,4,6,1,0,0,3,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,12,3,0.02631578947368421,0.3157894736842105,0.07894736842105263,1.0,3,1.5,5,4,11,34,0.8947368421052632
Face Serum,0.95,52,0,0,1,0,3,0,1,4,1,2,0,14,10,0,0,0,1,2,1,7,6,4,0,0,9,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,3,13,2,0.057692307692307696,0.25,0.038461538461538464,0.25,2,0.8333333333333334,3,1,15,66,1.2692307692307692
Face Serum,0.95,61,0,0,1,0,12,0,1,6,3,0,0,3,3,0,0,0,0,3,3,7,7,6,0,0,3,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,2,27,0,0.03278688524590164,0.4426229508196721,0.0,0.0,0,0.9090909090909091,3,1,13,58,0.9508196721311475
Face Serum,1.0,19,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,4,4,4,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,3,8,0,0.15789473684210525,0.42105263157894735,0.0,0.0,0,0.0,0,0,9,23,1.2105263157894737
Face Serum,1.0,47,0,0,1,0,8,0,1,1,1,0,0,11,6,0,0,0,1,0,1,8,6,6,0,0,4,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,2,18,0,0.0425531914893617,0.3829787234042553,0.0,0.3125,3,0.9375,3,3,13,55,1.1702127659574468
Face Serum,0.95,49,0,0,1,0,2,0,4,2,2,0,0,9,5,0,2,0,1,2,1,9,5,1,0,0,4,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,5,19,1,0.10204081632653061,0.3877551020408163,0.02040816326530612,0.2,2,0.5,2,0,15,50,1.0204081632653061
Face Serum,0.95,44,0,0,1,0,8,0,2,2,3,0,0,5,0,0,1,0,0,1,3,5,5,7,0,0,4,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,3,19,0,0.06818181818181818,0.4318181818181818,0.0,0.375,3,0.625,3,2,13,47,1.0681818181818181
Face Serum,0.95,39,0,0,1,0,2,0,0,1,1,0,0,4,2,0,0,0,0,1,1,6,4,0,0,0,5,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,2,15,0,0.05128205128205128,0.38461538461538464,0.0,0.0,0,0.4,1,0,11,28,0.717948717948718
Face Serum,1.0,35,0,0,1,0,2,0,1,1,1,1,0,5,2,0,0,0,1,3,1,4,3,1,0,0,3,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,11,1,0.05714285714285714,0.3142857142857143,0.02857142857142857,0.42857142857142855,3,0.8571428571428571,3,2,15,30,0.8571428571428571
Face Moisturizer,0.95,38,0,0,1,0,1,0,1,2,1,0,0,7,5,0,0,0,5,2,1,5,7,2,0,0,7,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,2,8,5,0.05263157894736842,0.21052631578947367,0.13157894736842105,0.16666666666666666,1,1.0,3,1,14,47,1.236842105263158
